rho,tau_star,inclusion,risk
5,0.19,0.4263888888888889,0.09771986970684039
10,0.33,0.225,0.05864197530864197
20,0.52,0.04375,0.0
50,0.52,0.04375,0.0
100,0.52,0.04375,0.0
