backend,n_sellers,overall_assign_acc,spearman_scs_assign,monotone_bins
TF-IDF+LR,1440,0.7194444444444444,0.4242709804715224,True
klue/roberta-base,1440,0.7319444444444444,0.3880912774793252,False
klue/bert-base,1440,0.7243055555555555,0.4087333884060769,True
KoELECTRA,1440,0.7236111111111111,0.41945205745831804,False
