rho,tau_star,e_at_tau_star,one_over_rho
5,0.19,0.16455696202531647,0.2
10,0.33,0.11475409836065574,0.1
20,0.52,0.0,0.05
50,0.52,0.0,0.02
100,0.52,0.0,0.01
