tau,inclusion,risk
0.0,1.0,0.2833333333333333
0.005,1.0,0.2833333333333333
0.01,1.0,0.2833333333333333
0.015,1.0,0.2833333333333333
0.02,1.0,0.2833333333333333
0.025,1.0,0.2833333333333333
0.03,1.0,0.2833333333333333
0.035,0.9986111111111111,0.282336578581363
0.04,0.9972222222222222,0.282033426183844
0.045,0.9923611111111111,0.2806158152554234
0.05,0.9805555555555555,0.278328611898017
0.055,0.9680555555555556,0.2769010043041607
0.06,0.9527777777777777,0.2755102040816326
0.065,0.9347222222222222,0.2689450222882615
0.07,0.9159722222222222,0.26156178923426837
0.075,0.8972222222222223,0.25696594427244585
0.08,0.8715277777777778,0.250996015936255
0.085,0.8479166666666667,0.2416052416052416
0.09,0.825,0.23232323232323232
0.095,0.8034722222222223,0.222990492653414
0.1,0.7798611111111111,0.21460373998219057
0.105,0.7506944444444444,0.2053654024051804
0.11,0.7298611111111111,0.1988582302568982
0.115,0.7048611111111112,0.1891625615763547
0.12,0.6715277777777777,0.1778697001034126
0.125,0.65,0.16987179487179488
0.13,0.6270833333333333,0.16057585825027684
0.135,0.6048611111111111,0.15614236509758897
0.14,0.5861111111111111,0.1481042654028436
0.145,0.5722222222222222,0.14441747572815533
0.15,0.55,0.13383838383838384
0.155,0.5284722222222222,0.13009198423127463
0.16,0.5069444444444444,0.12191780821917808
0.165,0.49444444444444446,0.11938202247191011
0.17,0.48125,0.11832611832611832
0.17500000000000002,0.46458333333333335,0.11509715994020926
0.18,0.4513888888888889,0.11076923076923077
0.185,0.44027777777777777,0.10410094637223975
0.19,0.4263888888888889,0.09771986970684039
0.195,0.41388888888888886,0.09731543624161074
0.2,0.4041666666666667,0.0979381443298969
0.20500000000000002,0.39444444444444443,0.09683098591549295
0.21,0.38958333333333334,0.0962566844919786
0.215,0.38055555555555554,0.0948905109489051
0.22,0.3729166666666667,0.09497206703910614
0.225,0.36527777777777776,0.09315589353612168
0.23,0.3597222222222222,0.09266409266409266
0.23500000000000001,0.35347222222222224,0.09233791748526522
0.24,0.3486111111111111,0.09163346613545817
0.245,0.3375,0.08847736625514403
0.25,0.3298611111111111,0.08421052631578947
0.255,0.3263888888888889,0.08085106382978724
0.26,0.31875,0.07625272331154684
0.265,0.3138888888888889,0.0752212389380531
0.27,0.3090277777777778,0.07415730337078652
0.275,0.3013888888888889,0.07373271889400922
0.28,0.2916666666666667,0.07142857142857142
0.28500000000000003,0.28680555555555554,0.07263922518159806
0.29,0.28055555555555556,0.07425742574257425
0.295,0.2722222222222222,0.07142857142857142
0.3,0.26458333333333334,0.07349081364829396
0.305,0.25416666666666665,0.07650273224043716
0.31,0.24583333333333332,0.07627118644067797
0.315,0.23819444444444443,0.06705539358600583
0.32,0.23541666666666666,0.06784660766961652
0.325,0.23125,0.06306306306306306
0.33,0.225,0.05864197530864197
0.335,0.21805555555555556,0.05732484076433121
0.34,0.20972222222222223,0.059602649006622516
0.34500000000000003,0.19652777777777777,0.06007067137809187
0.35000000000000003,0.19375,0.053763440860215055
0.355,0.18472222222222223,0.05639097744360902
0.36,0.175,0.051587301587301584
0.365,0.17083333333333334,0.052845528455284556
0.37,0.16875,0.053497942386831275
0.375,0.1597222222222222,0.05652173913043478
0.38,0.15138888888888888,0.05963302752293578
0.385,0.14444444444444443,0.057692307692307696
0.39,0.1388888888888889,0.06
0.395,0.1326388888888889,0.05759162303664921
0.4,0.1284722222222222,0.05405405405405406
0.405,0.12430555555555556,0.055865921787709494
0.41000000000000003,0.12152777777777778,0.05714285714285714
0.41500000000000004,0.11597222222222223,0.05389221556886228
0.42,0.11458333333333333,0.048484848484848485
0.425,0.1125,0.04938271604938271
0.43,0.10694444444444444,0.05194805194805195
0.435,0.10138888888888889,0.04794520547945205
0.44,0.09652777777777778,0.03597122302158273
0.445,0.09027777777777778,0.038461538461538464
0.45,0.08958333333333333,0.03875968992248062
0.455,0.08333333333333333,0.041666666666666664
0.46,0.08055555555555556,0.034482758620689655
0.465,0.07847222222222222,0.02654867256637168
0.47000000000000003,0.07430555555555556,0.028037383177570093
0.47500000000000003,0.07291666666666667,0.02857142857142857
0.48,0.07083333333333333,0.029411764705882353
0.485,0.06597222222222222,0.031578947368421054
0.49,0.0625,0.022222222222222223
0.495,0.06041666666666667,0.022988505747126436
0.5,0.05763888888888889,0.024096385542168676
0.505,0.05347222222222222,0.012987012987012988
0.51,0.050694444444444445,0.0136986301369863
0.515,0.04652777777777778,0.014925373134328358
0.52,0.04375,0.0
0.525,0.041666666666666664,0.0
0.53,0.03958333333333333,0.0
0.535,0.0375,0.0
0.54,0.035416666666666666,0.0
0.545,0.03263888888888889,0.0
0.55,0.030555555555555555,0.0
0.555,0.027777777777777776,0.0
0.56,0.027083333333333334,0.0
0.5650000000000001,0.025,0.0
0.5700000000000001,0.024305555555555556,0.0
0.5750000000000001,0.022916666666666665,0.0
0.58,0.022916666666666665,0.0
0.585,0.02013888888888889,0.0
0.59,0.018055555555555554,0.0
0.595,0.017361111111111112,0.0
0.6,0.017361111111111112,0.0
0.605,0.017361111111111112,0.0
0.61,0.016666666666666666,0.0
0.615,0.015277777777777777,0.0
0.62,0.013194444444444444,0.0
0.625,0.013194444444444444,0.0
0.63,0.011805555555555555,0.0
0.635,0.011805555555555555,0.0
0.64,0.011111111111111112,0.0
0.645,0.011111111111111112,0.0
0.65,0.009722222222222222,0.0
0.655,0.009722222222222222,0.0
0.66,0.008333333333333333,0.0
0.665,0.008333333333333333,0.0
0.67,0.007638888888888889,0.0
0.675,0.007638888888888889,0.0
0.68,0.006944444444444444,0.0
0.685,0.006944444444444444,0.0
0.6900000000000001,0.005555555555555556,0.0
0.6950000000000001,0.004861111111111111,0.0
0.7000000000000001,0.004166666666666667,0.0
0.705,0.004166666666666667,0.0
0.71,0.004166666666666667,0.0
0.715,0.003472222222222222,0.0
0.72,0.003472222222222222,0.0
0.725,0.003472222222222222,0.0
0.73,0.003472222222222222,0.0
0.735,0.003472222222222222,0.0
0.74,0.003472222222222222,0.0
0.745,0.002777777777777778,0.0
0.75,0.0020833333333333333,0.0
0.755,0.001388888888888889,0.0
0.76,0.001388888888888889,0.0
0.765,0.001388888888888889,0.0
0.77,0.001388888888888889,0.0
0.775,0.001388888888888889,0.0
0.78,0.001388888888888889,0.0
0.785,0.001388888888888889,0.0
0.79,0.0,0.0
0.795,0.0,0.0
0.8,0.0,0.0
0.805,0.0,0.0
0.81,0.0,0.0
0.8150000000000001,0.0,0.0
0.8200000000000001,0.0,0.0
0.8250000000000001,0.0,0.0
0.8300000000000001,0.0,0.0
0.835,0.0,0.0
0.84,0.0,0.0
0.845,0.0,0.0
0.85,0.0,0.0
0.855,0.0,0.0
0.86,0.0,0.0
0.865,0.0,0.0
0.87,0.0,0.0
0.875,0.0,0.0
0.88,0.0,0.0
0.885,0.0,0.0
0.89,0.0,0.0
0.895,0.0,0.0
0.9,0.0,0.0
0.905,0.0,0.0
0.91,0.0,0.0
0.915,0.0,0.0
0.92,0.0,0.0
0.925,0.0,0.0
0.93,0.0,0.0
0.935,0.0,0.0
0.9400000000000001,0.0,0.0
