conf_bin,n,accuracy,mean_conf
"(0.1, 0.2]",44,0.3181818181818182,0.18373056663552204
"(0.2, 0.3]",469,0.302771855010661,0.26362209940571446
"(0.3, 0.4]",793,0.4791929382093317,0.353335822100356
"(0.4, 0.5]",1033,0.5634075508228461,0.4528389932804894
"(0.5, 0.6]",1207,0.6172328086164043,0.5497996272099788
"(0.6, 0.7]",1344,0.7321428571428571,0.6511947577089011
"(0.7, 0.8]",1608,0.8208955223880597,0.7528883364840067
"(0.8, 0.9]",2670,0.8932584269662921,0.8548276954479644
"(0.9, 1.0]",12843,0.9697889901113447,0.9743989109928755
