seller_id,assigned,assign_correct,scs_dist_pooled,scs_conf_pooled,scs_dist_decomp,scs_conf_decomp,W_dist,W_conf,B_s,H_between,item_accuracy,regime,n_stores,n_items_target,n_items_actual,method,eta,tilt,gt_segment,seller_accuracy
0,1,1,0.3929389880542166,0.5028264073873036,0.3929389880542166,0.5028264073873036,0.3929389880542166,0.5028264073873036,1.0,-0.0,0.9,focused,1,30,30,A_real,0.0,easy,1,0.9
1,5,1,0.5123849897212139,0.6046403063709024,0.5123849897212139,0.6046403063709024,0.5123849897212139,0.6046403063709024,1.0,-0.0,0.9333333333333333,focused,1,30,30,A_real,0.0,neutral,5,0.9333333333333332
2,0,1,0.22612509748428258,0.3765064853354116,0.22612509748428258,0.3765064853354116,0.22612509748428258,0.3765064853354116,1.0,-0.0,0.7,focused,1,30,30,A_real,0.0,hard,0,0.7
3,2,1,0.4650825115723596,0.5438422170303916,0.4650825115723596,0.5438422170303916,0.4650825115723596,0.5438422170303916,1.0,-0.0,0.9,focused,1,30,30,A_real,0.0,easy,2,0.9
4,0,1,0.3134623794037412,0.4241209369156486,0.31346237940374116,0.4241209369156486,0.31346237940374116,0.4241209369156486,1.0,-0.0,0.8666666666666667,focused,1,30,30,A_real,0.0,neutral,0,0.8666666666666667
5,4,1,0.3492840714808078,0.4542987264877808,0.3492840714808078,0.4542987264877808,0.3492840714808078,0.4542987264877808,1.0,-0.0,0.7666666666666667,focused,1,30,30,A_real,0.0,hard,4,0.7666666666666667
6,2,1,0.2958449497872879,0.4622949393391642,0.2958449497872879,0.46229493933916416,0.2958449497872879,0.46229493933916416,1.0,-0.0,0.9666666666666667,focused,1,30,30,A_real,0.0,easy,2,0.9666666666666668
7,9,1,0.20942217338193095,0.36257803320309423,0.20942217338193095,0.36257803320309423,0.20942217338193095,0.36257803320309423,1.0,-0.0,0.8333333333333334,focused,1,30,30,A_real,0.0,neutral,9,0.8333333333333334
8,3,1,0.282525500956931,0.3723228391970109,0.282525500956931,0.3723228391970109,0.282525500956931,0.3723228391970109,1.0,-0.0,0.6666666666666666,focused,1,30,30,A_real,0.0,hard,3,0.6666666666666666
9,5,1,0.6272020881255279,0.6895854027699502,0.6272020881255279,0.6895854027699502,0.6272020881255279,0.6895854027699502,1.0,-0.0,0.9666666666666667,focused,1,30,30,A_real,0.0,easy,5,0.9666666666666668
10,4,1,0.30278784158062844,0.4320906646912434,0.30278784158062844,0.4320906646912434,0.30278784158062844,0.4320906646912434,1.0,-0.0,0.8666666666666667,focused,1,30,30,A_real,0.0,neutral,4,0.8666666666666667
11,0,1,0.3795422458744417,0.4712333348245051,0.3795422458744417,0.4712333348245051,0.3795422458744417,0.4712333348245051,1.0,-0.0,0.8,focused,1,30,30,A_real,0.0,hard,0,0.8
12,10,1,0.4779214995452897,0.5794324290958404,0.4779214995452897,0.5794324290958404,0.4779214995452897,0.5794324290958404,1.0,-0.0,0.9666666666666667,focused,1,30,30,A_real,0.0,easy,10,0.9666666666666668
13,5,1,0.35017922696358816,0.5206055344956801,0.35017922696358816,0.5206055344956801,0.35017922696358816,0.5206055344956801,1.0,-0.0,0.9666666666666667,focused,1,30,30,A_real,0.0,neutral,5,0.9666666666666668
14,7,1,0.1599406934270086,0.3312239795037514,0.1599406934270086,0.3312239795037514,0.1599406934270086,0.3312239795037514,1.0,-0.0,0.5666666666666667,focused,1,30,30,A_real,0.0,hard,7,0.5666666666666667
15,8,1,0.4779214995452896,0.5646820986954904,0.4779214995452896,0.5646820986954904,0.4779214995452896,0.5646820986954904,1.0,-0.0,0.8666666666666667,focused,1,30,30,A_real,0.0,easy,8,0.8666666666666667
16,9,1,0.29449572626421966,0.5122290501898944,0.29449572626421966,0.5122290501898944,0.29449572626421966,0.5122290501898944,1.0,-0.0,0.9,focused,1,30,30,A_real,0.0,neutral,9,0.9
17,4,1,0.29656366600804973,0.4182469348309084,0.29656366600804973,0.4182469348309084,0.29656366600804973,0.4182469348309084,1.0,-0.0,0.7666666666666667,focused,1,30,30,A_real,0.0,hard,4,0.7666666666666667
18,8,1,0.35117575894490255,0.44711510516035613,0.35117575894490255,0.44711510516035613,0.35117575894490255,0.44711510516035613,1.0,-0.0,0.8666666666666667,focused,1,30,30,A_real,0.0,easy,8,0.8666666666666667
19,2,1,0.4433960170291976,0.5433767847822413,0.4433960170291976,0.5433767847822413,0.4433960170291976,0.5433767847822413,1.0,-0.0,0.9,focused,1,30,30,A_real,0.0,neutral,2,0.9
20,4,1,0.2946742538221404,0.4300412495941934,0.2946742538221404,0.4300412495941934,0.2946742538221404,0.4300412495941934,1.0,-0.0,0.8666666666666667,focused,1,30,30,A_real,0.0,hard,4,0.8666666666666667
21,1,1,0.45743219254092743,0.5584975834600189,0.45743219254092743,0.5584975834600189,0.45743219254092743,0.5584975834600189,1.0,-0.0,0.9666666666666667,focused,1,30,30,A_real,0.0,easy,1,0.9666666666666668
22,6,1,0.33113199395725734,0.44140714393492025,0.33113199395725734,0.44140714393492025,0.33113199395725734,0.44140714393492025,1.0,-0.0,0.8666666666666667,focused,1,30,30,A_real,0.0,neutral,6,0.8666666666666667
23,3,1,0.19046393037205742,0.32571082939650564,0.19046393037205742,0.3257108293965056,0.19046393037205742,0.3257108293965056,1.0,-0.0,0.7333333333333333,focused,1,30,30,A_real,0.0,hard,3,0.7333333333333333
24,1,1,0.5905121782115593,0.6559182355371117,0.5905121782115593,0.6559182355371117,0.5905121782115593,0.6559182355371117,1.0,-0.0,0.8666666666666667,focused,1,30,30,A_real,0.0,easy,1,0.8666666666666667
25,5,1,0.4698466303457333,0.5632448208352726,0.4698466303457333,0.5632448208352726,0.4698466303457333,0.5632448208352726,1.0,-0.0,0.9666666666666667,focused,1,30,30,A_real,0.0,neutral,5,0.9666666666666668
